,mean_importance,std_importance,is_shadow,z_score,p_value,is_significant,better_than_shadow,decision
remainder__Expected Post-MBA Salary,0.05541248997327743,0.00608242983353296,False,2.2139320633987953,0.013416726339832374,True,False,Unimportant
remainder__GRE/GMAT Score,0.05427881223041935,0.004591281449576723,False,2.152868887633761,0.01566449213347887,True,False,Unimportant
remainder__Undergrad University Ranking,0.051972608645757055,0.005224039536165181,False,2.0286500646681103,0.021246972695004307,True,False,Unimportant
remainder__Annual Salary (Before MBA),0.04984027015729144,0.005174361619773384,False,1.9137961207391576,0.027823105688645433,True,False,Unimportant
remainder__Undergraduate GPA,0.04590349328898306,0.005311950449722344,False,1.7017498850503534,0.04440113231463538,True,False,Unimportant
remainder__Networking Importance,0.036965983333992654,0.004624017706813854,False,1.2203496417083224,0.11116617938820794,False,False,Unimportant
remainder__Entrepreneurial Interest,0.03691720338486524,0.004026260189539232,False,1.2177222119769533,0.11166477664537111,False,False,Unimportant
remainder__Years of Work Experience,0.021462396166665815,0.0032503769390875726,False,0.3852814098840664,0.3500144666062722,False,False,Unimportant
remainder__Age,0.02115946406591291,0.002235981231866351,False,0.36896460713330315,0.3560770528987305,False,False,Unimportant
encoder__Reason for MBA_Career Growth,0.007502354949518527,0.0018220725643340588,False,-0.3666469541506002,0.6430588103490267,False,False,Unimportant
remainder__Location Preference (Post-MBA),0.006484621990111088,0.0015255216613810198,False,-0.42146500714111823,0.6632922207898211,False,False,Unimportant
remainder__Gender,0.00602200828866349,0.0013623115447799652,False,-0.44638272466778584,0.6723395952849494,False,False,Unimportant
encoder__Reason for MBA_Networking,0.0051468832839108684,0.0012635362984246706,False,-0.4935194990450134,0.6891772171880928,False,False,Unimportant
encoder__Current Job Title_Analyst,0.004973266511902791,0.0014751030847047243,False,-0.5028710026197063,0.6924725152210447,False,False,Unimportant
encoder__MBA Funding Source_Loan,0.0049165384083447,0.0015503492519363536,False,-0.5059265430324976,0.6935458909694443,False,False,Unimportant
encoder__Undergraduate Major_Arts,0.004408670891773948,0.001457776135056555,False,-0.5332817624721312,0.7030807248534346,False,False,Unimportant
encoder__Undergraduate Major_Business,0.004293467810072852,0.001315500062027797,False,-0.5394869350362964,0.7052245452469428,False,False,Unimportant
encoder__MBA Funding Source_Scholarship,0.004108500378024935,0.001278127379090847,False,-0.5494498181264013,0.7086516031780886,False,False,Unimportant
encoder__Undergraduate Major_Economics,0.00397591634810016,0.0012082151086425135,False,-0.5565911790412963,0.7110966090347952,False,False,Unimportant
encoder__Current Job Title_Consultant,0.003956095420608329,0.001346348898031513,False,-0.5576587917618286,0.7114612990217599,False,False,Unimportant
encoder__MBA Funding Source_Employer,0.003876895648618823,0.0012198264731084606,False,-0.5619247215006921,0.7129163452769711,False,False,Unimportant
encoder__Desired Post-MBA Role_Finance Manager,0.003876587567599181,0.001238039435816479,False,-0.5619413156391682,0.7129219985045632,False,False,Unimportant
encoder__Desired Post-MBA Role_Consultant,0.003867477890263209,0.0012711906421517536,False,-0.5624319893176748,0.7130891355061322,False,False,Unimportant
remainder__Has Management Experience,0.0038027423478497148,0.0013594826602708152,False,-0.5659188336431832,0.7142755210138703,False,False,Unimportant
encoder__Reason for MBA_Skill Enhancement,0.003746385426108342,0.001343652284609413,False,-0.5689543811253046,0.7153064505448339,False,False,Unimportant
encoder__Current Job Title_Engineer,0.003696124167037562,0.0012118955164811484,False,-0.5716615985123844,0.7162243723900272,False,False,Unimportant
encoder__MBA Funding Source_Self-funded,0.0035932401985962446,0.0011323817753974578,False,-0.5772032278580379,0.7180989115990327,False,False,Unimportant
remainder__Online vs. On-Campus MBA,0.003575436801116496,0.00123481587221308,False,-0.578162170552617,0.7184226818325761,False,False,Unimportant
encoder__Undergraduate Major_Science,0.0035071654726007303,0.0010515262540180459,False,-0.58183946258656,0.7196625899031687,False,False,Unimportant
encoder__Current Job Title_Entrepreneur,0.0033465660230478206,0.0011102210936944842,False,-0.590489815367672,0.7225688440937177,False,False,Unimportant
encoder__Undergraduate Major_Engineering,0.003249921968202751,0.001295367787294611,False,-0.5956953448444811,0.7243106156867052,False,False,Unimportant
encoder__Current Job Title_Manager,0.0032326742849953737,0.0010694326339284422,False,-0.5966243551543919,0.724620896580694,False,False,Unimportant
encoder__Desired Post-MBA Role_Startup Founder,0.0030203979988161138,0.0009216952845699947,False,-0.6080581724409818,0.7284255537598205,False,False,Unimportant
encoder__Desired Post-MBA Role_Marketing Director,0.003017153607581712,0.0011273686032156605,False,-0.6082329247755363,0.7284834997111392,False,False,Unimportant
encoder__Reason for MBA_Entrepreneurship,0.002929971392209808,0.0010448700161863917,False,-0.6129288120983467,0.7300382943626812,False,False,Unimportant
encoder__Desired Post-MBA Role_Executive,0.002821988745508254,0.0009704876565714455,False,-0.6187450710631627,0.7319578434114884,False,False,Unimportant
