encoder__Undergraduate Major_Arts,encoder__Undergraduate Major_Business,encoder__Undergraduate Major_Economics,encoder__Undergraduate Major_Engineering,encoder__Undergraduate Major_Science,encoder__Current Job Title_Analyst,encoder__Current Job Title_Consultant,encoder__Current Job Title_Engineer,encoder__Current Job Title_Entrepreneur,encoder__Current Job Title_Manager,encoder__MBA Funding Source_Employer,encoder__MBA Funding Source_Loan,encoder__MBA Funding Source_Scholarship,encoder__MBA Funding Source_Self-funded,encoder__Desired Post-MBA Role_Consultant,encoder__Desired Post-MBA Role_Executive,encoder__Desired Post-MBA Role_Finance Manager,encoder__Desired Post-MBA Role_Marketing Director,encoder__Desired Post-MBA Role_Startup Founder,encoder__Reason for MBA_Career Growth,encoder__Reason for MBA_Entrepreneurship,encoder__Reason for MBA_Networking,encoder__Reason for MBA_Skill Enhancement,remainder__Age,remainder__Undergraduate GPA,remainder__Years of Work Experience,remainder__Annual Salary (Before MBA),remainder__GRE/GMAT Score,remainder__Undergrad University Ranking,remainder__Entrepreneurial Interest,remainder__Networking Importance,remainder__Expected Post-MBA Salary,remainder__Gender,remainder__Has Management Experience,remainder__Location Preference (Post-MBA),remainder__Online vs. On-Campus MBA,remainder__Decided to Pursue MBA?
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12260577215522644,0.3285013777871993,1.211420508482134,0.5980009407885081,1.0347803846098815,-0.42822275009526756,0.9367433243706357,0.8027801258659809,0.6366026588352042,1.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.8667233454218257,0.06694042322998037,-0.18643959073279057,-0.8352582991447153,1.6864487395039056,1.0903906566085417,-0.6488793321396861,-0.5494625698939868,0.8693080676064564,1.0,1.0,1.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3656293743779722,1.1654964323702979,1.5608855332858649,0.17910299623017992,-0.5975539412411692,-0.9666402306538909,0.47265864441639516,-0.008565491589999577,-0.1988656749527244,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8695509922002392,-0.926991204087449,-1.2348346651439839,1.1911430987094804,-1.0657428564077496,0.06877800118961547,-1.731743585366247,-0.08583650277628352,-0.1607095747953549,1.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12543341893364,-0.42130669194349346,1.5608855332858649,0.811086448604104,-0.3318250974979749,0.6279038463851089,1.555522897642956,-0.24037852514885105,1.655018284985162,0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3656293743779722,1.025997256606448,-0.5359046155365217,1.0351976226737747,-0.7304183631127663,0.22754213007228644,-0.8035742254577662,0.6096025979002713,-0.7569694588555783,1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6186841543329593,0.11925261414142446,0.16302543407094053,0.2628980597611495,-0.983493452391999,-0.6145980318270987,1.4395017276543958,1.073228665017975,-0.27337968591208056,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.12260577215522644,-0.3341197070910877,0.5124904588746716,0.9635114487481575,0.4020926614117999,-0.3937088090338174,-0.9969428421053664,1.5754902377288196,1.7027565174609411,1.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6215118011113728,-1.6244870829066975,0.5124904588746716,1.6837389177029412,-0.021808113130914852,1.4355300672230438,1.4008280043248758,-0.317649536335135,-1.3371688023718347,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.1147625365106921,0.9039354778130789,-0.5359046155365217,1.439936290568975,0.9272234716662077,1.131807385882282,0.2019425811097548,0.6868736090865553,-0.9367144962011724,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.12260577215522644,1.6537435475437716,1.5608855332858649,-1.3931183250526478,0.8070128042585721,1.3043770911895332,-1.1129640120939264,0.2232475419688519,-0.2757690608089591,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8695509922002392,0.4331257596100867,1.5608855332858649,-0.09940146469292728,1.4207198957607114,0.24825049470915658,-0.6102056088101661,-1.1289951537911156,-1.4933156835193915,2.0,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8695509922002392,1.2526834172227037,-0.18643959073279057,0.26196958260291164,-0.2685563251781667,0.5243620232007583,1.1687856643477557,-0.7040045922665543,0.7155751940866739,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12543341893364,0.06694042322998037,-0.5359046155365217,1.5305015000454292,-0.534285168921361,-0.8976123485309905,1.594196620972476,1.1891351817974003,-0.798894366839983,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6186841543329593,-0.926991204087449,1.5608855332858649,0.37814528702742767,0.9588578578261118,-0.2694586212125966,1.323480557665836,1.073228665017975,1.4755688404103158,0.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8667233454218257,-1.6767992738181416,0.16302543407094053,-0.47148868585676185,1.4143930185287306,-1.6776274165197653,1.2848068343363162,1.227770687390542,1.0602363647786779,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.12543341893364,0.555187538403455,0.5124904588746716,1.383608676302543,-0.3697863608898598,1.2560575737035027,-1.731743585366247,-1.592621220908819,1.566636046531552,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12543341893364,-0.002809164651943801,-1.2348346651439839,0.5992002237845654,0.4843420654275505,-0.42822275009526756,-0.18479465218544558,1.6913967545082458,1.2371732708021672,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.1147625365106921,0.9911224626654855,1.5608855332858649,-0.822143559284605,0.08574879981275903,0.9454321041504509,1.1687856643477557,0.1846120363757101,-1.1786818117891908,1.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.37064496324409285,0.6946867141673049,-0.8853696403402528,0.4877442782477586,-1.432701735862637,0.9523348923627409,-1.615722415377687,0.03007001400314222,0.41976072876075377,1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6186841543329593,1.7234931354256966,0.8619554836784027,-1.6212915866896092,-0.6102076957051308,-0.15211122160366589,0.6660272610639953,0.8027801258659809,-1.419023367138096,1.0,1.0,0.0,1.0,1.0
